pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         607076 function calls (593376 primitive calls) in 8.885 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    61/11    0.000    0.000    0.004    0.000 pyparsing.py:3288(leaveWhitespace)
      410    0.000    0.000    0.004    0.000 enum.py:278(__call__)
        1    0.000    0.000    0.004    0.004 camera.py:1(<module>)
       30    0.002    0.000    0.004    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
        2    0.000    0.000    0.004    0.002 debug.py:1(<module>)
      159    0.002    0.000    0.004    0.000 ntpath.py:450(normpath)
        1    0.000    0.000    0.004    0.004 scimath.py:1(<module>)
      608    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       20    0.002    0.000    0.004    0.000 enum.py:129(__new__)
        1    0.000    0.000    0.004    0.004 platform.py:3(<module>)
        2    0.000    0.000    0.004    0.002 GL_1_4.py:1(<module>)
      100    0.001    0.000    0.004    0.000 wrapper.py:804(wrapperCall)
      500    0.003    0.000    0.004    0.000 images.py:77(rankPacking)
      500    0.003    0.000    0.004    0.000 images.py:62(setupDefaultTransferMode)
      202    0.001    0.000    0.004    0.000 __init__.py:1390(__init__)
     1028    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      272    0.000    0.000    0.004    0.000 ntpath.py:221(dirname)
      645    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.004    0.004 inspect.py:1(<module>)
        1    0.000    0.000    0.004    0.004 version.py:191(Version)
       22    0.000    0.000    0.004    0.000 __init__.py:3276(<genexpr>)
       12    0.000    0.000    0.004    0.000 pyparsing.py:2653(__init__)
       21    0.000    0.000    0.004    0.000 __init__.py:2776(activate)
        2    0.000    0.000    0.004    0.002 polynomial.py:1(<module>)
     6167    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.004    0.004 events.py:1(<module>)
       13    0.000    0.000    0.004    0.000 enum.py:381(_create_)
      616    0.001    0.000    0.004    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 plistlib.py:1(<module>)
        1    0.001    0.001    0.004    0.004 core.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.004    0.004 financial.py:1(<module>)
       49    0.000    0.000    0.004    0.000 images.py:574(typedImageFunction)
       56    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3365(<listcomp>)
      101    0.001    0.000    0.003    0.000 tempfile.py:147(<listcomp>)
       42    0.000    0.000    0.003    0.000 __init__.py:2578(from_location)
        1    0.000    0.000    0.003    0.003 linecache.py:1(<module>)
        3    0.002    0.001    0.003    0.001 renderer.py:7(__init__)
      515    0.001    0.000    0.003    0.000 strings.py:17(from_param)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
      227    0.001    0.000    0.003    0.000 __init__.py:1492(_validate_resource_path)
      600    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(swapaxes)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
       62    0.001    0.000    0.003    0.000 images.py:513(setImageInput)
        1    0.000    0.000    0.003    0.003 __init__.py:15(<module>)
     1254    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
       61    0.000    0.000    0.003    0.000 pyparsing.py:3292(<listcomp>)
       42    0.000    0.000    0.003    0.000 __init__.py:2026(_by_version)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      273    0.001    0.000    0.003    0.000 function_base.py:460(add_newdoc)
 1054/261    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.003    0.003 utils.py:5(<module>)
        2    0.000    0.000    0.003    0.002 GL_3_2.py:1(<module>)
    13938    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
5965/5961    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
       56    0.000    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
        1    0.000    0.000    0.003    0.003 arrayhelpers.py:1(<module>)
     1295    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.003    0.003 matfuncs.py:5(<module>)
      500    0.001    0.000    0.003    0.000 lists.py:163(dimensions)
        1    0.000    0.000    0.003    0.003 _basic.py:5(<module>)
      103    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
      500    0.001    0.000    0.003    0.000 lists.py:145(<listcomp>)
      808    0.001    0.000    0.003    0.000 random.py:285(choice)
     1254    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
       42    0.000    0.000    0.003    0.000 __init__.py:2032(<listcomp>)
      514    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      601    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        4    0.000    0.000    0.003    0.001 wrapper.py:591(wrapperCall)
      128    0.000    0.000    0.003    0.000 version.py:24(parse)
      519    0.001    0.000    0.003    0.000 strings.py:10(dataPointer)
     4036    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x000007FED6667810}
      100    0.003    0.000    0.003    0.000 {built-in method pygame.event.get}
      104    0.000    0.000    0.003    0.000 traceback.py:285(line)
        2    0.000    0.000    0.003    0.001 GL_1_5.py:1(<module>)
      601    0.003    0.000    0.003    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.003    0.001 GL_3_1.py:1(<module>)
       56    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        1    0.000    0.000    0.003    0.003 pointers.py:1(<module>)
       78    0.000    0.000    0.003    0.000 linecache.py:15(getline)
      646    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
     9732    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
       46    0.000    0.000    0.003    0.000 genericpath.py:39(isdir)
        1    0.000    0.000    0.003    0.003 staggered.py:1(<module>)
